act1,act2,act3,act_output,opt,min_loss
sigmoid,sigmoid,sigmoid,relu,Adadelta,343791104.0
sigmoid,sigmoid,sigmoid,tanh,RMSprop,343794464.0
sigmoid,sigmoid,sigmoid,tanh,adam,343794688.0
sigmoid,sigmoid,sigmoid,tanh,SGD,343794464.0
sigmoid,sigmoid,sigmoid,tanh,Adadelta,343837600.0
sigmoid,sigmoid,sigmoid,softmax,RMSprop,343794464.0
sigmoid,sigmoid,sigmoid,softmax,adam,343794464.0
sigmoid,sigmoid,sigmoid,softmax,SGD,343794464.0
sigmoid,sigmoid,sigmoid,softmax,Adadelta,343794464.0
sigmoid,sigmoid,sigmoid,linear,RMSprop,343333280.0
sigmoid,sigmoid,sigmoid,linear,adam,343278432.0
sigmoid,sigmoid,sigmoid,linear,SGD,22982548.0
sigmoid,sigmoid,sigmoid,linear,Adadelta,343794368.0
sigmoid,sigmoid,sigmoid,sigmoid,RMSprop,343794528.0
sigmoid,sigmoid,sigmoid,sigmoid,adam,343794752.0
sigmoid,sigmoid,sigmoid,sigmoid,SGD,343794464.0
sigmoid,sigmoid,sigmoid,sigmoid,Adadelta,343820000.0
