repos_number,followers,seniority,label
24,10,junior,0
16,10,junior,0
27,10,middle,1
13,13,junior,0
13,9,junior,0
17,11,junior,0
20,9,junior,0
5,9,junior,0
34,12,middle,1
12,13,junior,0
22,14,junior,0
51,10,middle,1
10,11,junior,0
26,11,middle,1
39,13,middle,1
18,8,junior,0
17,11,junior,0
41,9,middle,1
4,8,junior,0
4,8,junior,0
41,9,middle,1
8,10,junior,0
21,14,junior,0
40,9,middle,1
12,11,junior,0
10,12,junior,0
2,14,junior,0
4,11,junior,0
4,12,junior,0
63,12,middle,1
3,13,junior,0
25,9,middle,1
15,10,junior,0
30,8,middle,1
97,14,senior,2
28,9,middle,1
9,9,junior,0
27,10,middle,1
17,12,junior,0
14,13,junior,0
46,13,middle,1
6,14,junior,0
44,9,middle,1
13,11,junior,0
22,13,junior,0
11,10,junior,0
50,10,middle,1
18,14,junior,0
5,9,junior,0
17,8,junior,0
8,14,junior,0
26,8,middle,1
18,10,junior,0
21,8,junior,0
11,13,junior,0
10,9,junior,0
75,11,middle,1
5,9,junior,0
0,8,junior,0
16,9,junior,0
53,10,middle,1
18,10,junior,0
2,9,junior,0
18,10,junior,0
11,8,junior,0
6,10,junior,0
10,11,junior,0
12,10,junior,0
18,10,junior,0
3,8,junior,0
14,8,junior,0
30,11,middle,1
4,11,junior,0
6,12,junior,0
31,9,middle,1
19,9,junior,0
5,11,junior,0
77,12,middle,1
54,9,middle,1
23,9,junior,0
22,10,junior,0
8,11,junior,0
8,14,junior,0
46,9,middle,1
3,9,junior,0
84,10,senior,2
31,9,middle,1
9,12,junior,0
86,14,senior,2
19,12,junior,0
42,9,middle,1
5,11,junior,0
20,13,junior,0
1,10,junior,0
19,13,junior,0
28,14,middle,1
23,8,junior,0
20,14,junior,0
10,8,junior,0
22,12,junior,0
9,11,junior,0
28,14,middle,1
8,11,junior,0
19,8,junior,0
23,10,junior,0
61,8,middle,1
77,14,middle,1
0,8,junior,0
54,9,middle,1
9,11,junior,0
13,11,junior,0
21,9,junior,0
6,8,junior,0
37,8,middle,1
6,12,junior,0
91,9,senior,2
23,10,junior,0
10,12,junior,0
24,8,junior,0
47,10,middle,1
34,12,middle,1
43,13,middle,1
16,10,junior,0
43,12,middle,1
30,12,middle,1
21,10,junior,0
5,11,junior,0
23,14,middle,1
16,14,junior,0
32,8,middle,1
11,8,junior,0
9,8,junior,0
26,12,middle,1
40,8,middle,1
29,12,middle,1
20,13,junior,0
0,14,junior,0
8,8,junior,0
17,14,junior,0
9,10,junior,0
10,10,junior,0
26,11,middle,1
77,14,middle,1
65,9,middle,1
12,9,junior,0
13,12,junior,0
29,8,middle,1
17,8,junior,0
19,8,junior,0
9,14,junior,0
39,13,middle,1
34,8,middle,1
58,8,middle,1
6,11,junior,0
21,13,junior,0
94,8,senior,2
29,9,middle,1
16,8,junior,0
